velikost_zamestnancu	pravni_forma	ico	nazev	obor_podnikani	status	platce_dph	rok_vzniku	obec	psc	statutari	nace_kody	okres	datum_vzniku
50-99	s.r.o.	64650391	Damino CZ s.r.o.	Výroba bytového textilu a konfekčních bytových textilií; Silniční nákladní doprava	aktivní	ano	1996	Frýdlant	46401	Viktor Víšek	13920;49410	Liberec	1996-01-25
50-99	s.r.o.	27281337	ETK CHECK, s.r.o.	Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Maloobchod s ostatním novým zbožím; Architektonické a inženýrské činnosti a související technické poradenství; Ostatní odborné, vědecké a technické činnosti; Činnosti agentur zprostředkujících práci na přechodnou dobu a ostatní poskytování lidských zdrojů	aktivní	ano	2005	Frýdlant	46401	Libor Kmenta; Eva Kmentová	461;46900;471;4778;711;74;78200	Liberec	2005-12-05
50-99	a.s.	25006568	Frýdlantské strojírny - Rasl a syn a.s.	Výroba brusiv; Výroba ostatních nekovových minerálních výrobků j. n.; Tváření ocelových profilů za studena; Výroba kovových výrobků, kromě strojů a zařízení; Nespecializovaný maloobchod; Silniční nákladní doprava	aktivní	ano	1996	Frýdlant	46401	Jan Rasl; Ladislav Rasl; Dario Felline	23910;23990;24330;25730;471;49410	Liberec	1996-08-01
25-49	s.r.o.	46713158	SILKOM, spol. s r.o.	Destilace, rektifikace a míchaní lihovin; Výstavba silnic a dálnic; Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Maloobchod s pohonnými hmotami; Silniční nákladní doprava	aktivní	ano	1992	Frýdlant	46401	Josef Kukal	11010;42110;461;46900;471;47300;49410	Liberec	1992-07-13
25-49	s.r.o.	46710710	ANT GROUP, spol. s r.o.	Destilace, rektifikace a míchaní lihovin; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Poskytování stravování v restauracích, u stánků a mobilních zařízení; Umělecká tvorba a činnosti v oblasti scénických umění	aktivní	ano	1992	Frýdlant	46401	Sait Zylollar	11010;46900;471;56100;90020	Liberec	1992-05-29
25-49	s.r.o.	27608913	LENSO s.r.o.	Nespecializovaný velkoobchod; Maloobchod; Poradenství v oblasti podnikání a řízení podniků; Ambulantní a zubní zdravotní péče; Specializovaná ambulantní zdravotní péče; Maloobchod se zdravotnickými a ortopedickými výrobky	aktivní	ne	2006	Praha	18100	Petra Kašáková	46900;47;70220;862;86220;4774		2006-10-16
25-49	s.r.o.	27268632	EMJ s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Podpůrné činnosti pro zemědělství a posklizňové činnosti; Instalace průmyslových strojů a zařízení; Výstavba bytových a nebytových budov; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Pronájem a správa vlastních nebo pronajatých nemovitostí; Architektonické činnosti; Inženýrské činnosti a související technické poradenství; Administrativní a kancelářské činnosti; Opravy a údržba výrobků pro osobní potřebu a převážně pro domácnost	aktivní	ano	2005	Frýdlant	46401	Ivanka Krýchová; Jakub Krýcha	00;016;33200;4120;46900;471;6820;71110;7112;82110;952	Liberec	2005-05-07
25-49	s.r.o.	25026119	FORMCAD s.r.o.	Povrchové úpravy a zušlechťování kovů; obrábění; Výroba zámků a kování; Výroba kovových výrobků, kromě strojů a zařízení; Výroba konstrukčních kovových výrobků; Inženýrské činnosti a související technické poradenství; Počítačové programování, poradenství a související činnosti; Nespecializovaný maloobchod; Výroba nožířských výrobků, nástrojů a železářských výrobků; Výroba strojů a zařízení j. n.; Odlévání kovů; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Nespecializovaný velkoobchod	aktivní	ano	1997	Frýdlant	46401	Miroslav Bilčák; Marek Bilčák; Jan Votava	25500;25620;25730;251;7112;620;471;256;28;245;00;46900	Liberec	1997-09-30
25-49	s.r.o.	08398763	NS7 s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Destilace, rektifikace a míchaní lihovin; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Poskytování ubytování; Poskytování stravování v restauracích, u stánků a mobilních zařízení; Zprostředkování v oblasti nemovitostí; Reklamní činnosti; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost	aktivní	ano	2019	Frýdlant	46401	Ivana Pavlasová; Petr Silný	00;11010;46900;471;55;56100;68310;731;772	Liberec	2019-08-06
25-49	a.s.	25496565	Frýdlantská vodárenská společnost,a.s.	Shromažďování, úprava a distribuce vody; Výstavba bytových a nebytových budov; Nespecializovaný velkoobchod; Maloobchod s ostatním novým zbožím; Silniční nákladní doprava	aktivní	ano	2004	Frýdlant	46401	Dan Ramzer; Zdeněk Janeček; Pavel Šercl	36000;4120;46900;4778;49410	Liberec	2004-10-06
10-19	s.r.o.	64048268	EURIKA s.r.o.	Nespecializovaný maloobchod; Silniční nákladní doprava	aktivní	ano	1995	Frýdlant	46401	Ioan Paşcan	471;49410	Liberec	1995-09-25
10-19	s.r.o.	60280808	DENDRIA s.r.o.	Smíšené hospodaření; Podpůrné činnosti pro zemědělství a posklizňové činnosti; Lov a odchyt divokých zvířat a související činnosti; Pěstování lesa a jiné činnosti v oblasti lesnictví; Sladkovodní akvakultura; Příprava staveniště; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Úklidové činnosti	aktivní	ano	1994	Frýdlant	46401	Ivo Machovič	01500;016;01700;02100;03220;43120;46900;471;772;812	Liberec	1994-03-29
