velikost	forma	ico	nazev	obor_podnikani	status	platce_dph	rok_vzniku	obec	psc	statutari	nace_kody	okres	datum_vzniku
1000-1499	a.s.	00012556	PRECIOSA, a.s.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Výroba skla a skleněných výrobků; Velkoobchod s motorovými vozidly, motocykly, jejich díly a příslušenstvím; Účetnické a auditorské činnosti; daňové poradenství; Pronájem a správa vlastních nebo pronajatých nemovitostí; Inženýrské činnosti a související technické poradenství; Umělecká tvorba a činnosti v oblasti scénických umění; Poskytování stravování v restauracích, u stánků a mobilních zařízení; Administrativní a kancelářské činnosti; Přenos elektřiny; Technické zkoušky a analýzy; Činnosti v oblasti sportu j. n.; Výstavba bytových a nebytových budov; Velkoobchod; Podpůrné činnosti pro dopravu; Úklidové činnosti; Instalace průmyslových strojů a zařízení; Ostatní zpracovatelský průmysl; Elektroinstalační, instalatérské a ostatní stavebně instalační činnosti; Příprava staveniště; Výzkum a vývoj; Výzkum a vývoj v oblasti přírodních a technických věd; Ostatní vzdělávání; Výroba kovových výrobků, kromě strojů a zařízení; Výroba a distribuce páry; Opravy a údržba kovových výrobků, strojů a zařízení; Výroba chemických látek a chemických výrobků; Výroba a distribuce klimatizovaného vzduchu; Výroba klenotů a příbuzných výrobků; Silniční nákladní doprava; Specializované návrhářské činnosti; Výroba zámků a kování; Poskytování ubytování; Výroba oděvů; Činnosti reklamních agentur; Výroba strojů a zařízení j. n.; Nespecializovaný maloobchod	aktivní	ano	1991	Jablonec nad Nisou	46601	Jan Štiller; Jana Havlíčková; Lucie Karlová; Ludvík Karl; Lubomír Málek	00;23190;46750;69200;6820;7112;90020;56100;82110;35130;71209;93190;4120;46;52290;812;33200;32;432;4312;72;7219;855;257;35301;331;20;35302;32120;49410;74100;25620;55;14;73110;28;471	Jablonec nad Nisou	1991-03-18
250-499	s.r.o.	63144476	ATREA s.r.o.	Výroba elektronických součástek a desek; Výroba klimatizačních zařízení jiných než pro domácnost; Výstavba bytových a nebytových budov; Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný velkoobchod; Nespecializovaný maloobchod s převahou potravin, nápojů a tabákových výrobků; Ubytování v hotelích a podobných ubytovacích zařízeních; Zprostředkování v oblasti nemovitostí; Inženýrské činnosti a související technické poradenství; Technické zkoušky a analýzy; Výzkum a vývoj v oblasti přírodních a technických věd; Výzkum a vývoj v oblasti přírodních a technických věd; Ostatní odborné, vědecké a technické činnosti j. n.; Ostatní vzdělávání j. n.	aktivní	ano	1995	Jablonec nad Nisou	46605	Taťána Morávková; Petr Morávek; Daniel Morávek	261;28250;4120;461;46900;47110;5510;68310;7112;71209;721;7219;74909;8559	Jablonec nad Nisou	1995-05-23
250-499	s.r.o.	60486414	A.RAYMOND JABLONEC s.r.o.	Výroba plastových výrobků; Nespecializovaný maloobchod	aktivní	ano	1994	Jablonec nad Nisou	46605	Tomáš Čermák	22290;471	Jablonec nad Nisou	1994-03-02
250-499	s.r.o.	47545674	TI GROUP AUTOMOTIVE SYSTEMS s.r.o.	Výroba pryžových výrobků; Výroba plastových výrobků; Povrchové úpravy a zušlechťování kovů; obrábění; Výroba kovových výrobků, kromě strojů a zařízení; Výroba motorových vozidel; Výroba ostatních dílů a příslušenství pro motorová vozidla; Nespecializovaný velkoobchod; Počítačové programování, poradenství a související činnosti; Poskytování počítačové infrastruktury, zpracování dat, hosting a ostatní informační činnosti; Poradenství v oblasti podnikání a řízení podniků; Překladatelské a tlumočnické činnosti	aktivní	ano	1994	Jablonec nad Nisou	46605	Jan Švec; Michal Pešík	221;222;25500;25720;29100;29320;46900;620;63;702;74300	Jablonec nad Nisou	1994-04-07
250-499	s.r.o.	26485648	TI Automotive AC s.r.o.	Výroba zámků a kování; Výroba ostatních strojů a zařízení pro všeobecné účely; Výroba ostatních strojů a zařízení pro všeobecné účely j. n.; Nespecializovaný velkoobchod; Poskytování počítačové infrastruktury, zpracování dat, hosting a ostatní informační činnosti; Poradenství v oblasti podnikání a řízení podniků; Překladatelské a tlumočnické činnosti	aktivní	ano	2001	Jablonec nad Nisou	46605	Jan Švec; Michal Pešík	25620;282;28290;46900;63;702;74300	Jablonec nad Nisou	2001-11-05
250-499	a.s.	28746503	Silnice LK a.s.	Podpůrné činnosti pro zemědělství a posklizňové činnosti; Výstavba bytových a nebytových budov; Výstavba silnic a dálnic; Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Silniční nákladní doprava	aktivní	ano	2011	Jablonec nad Nisou	46605	Petr Správka; Zdeněk Sameš; Petr Finkous	016;4120;42110;461;46900;471;49410	Jablonec nad Nisou	2011-08-17
250-499	a.s.	28668715	JABLOTRON a.s.	Výroba elektronických součástek a desek; Výroba ostatních elektrických zařízení; Výroba lékařských a dentálních nástrojů a potřeb; Elektrické instalace; Velkoobchod s počítačovými a komunikačními zařízeními; Skladování; Účetnické a auditorské činnosti; daňové poradenství; Ostatní odborné, vědecké a technické činnosti; Pátrací a bezpečnostní činnosti; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona	aktivní	ano	2008	Jablonec nad Nisou	46601	Dalibor Dědek; Tereza Nalezená	261;27900;32500;43210;46520;52100;69200;74;80;00	Jablonec nad Nisou	2008-08-01
250-499	a.s.	27354059	Vaše pekárna a.s.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Výroba pekařských, cukrářských a jiných moučných výrobků; Destilace, rektifikace a míchaní lihovin; Nespecializovaný velkoobchod; Maloobchod s pekařskými a cukrářskými výrobky a cukrovinkami; Poskytování stravování v restauracích, u stánků a mobilních zařízení; Administrativní a kancelářské činnosti; Zpracování a konzervování masa a výroba masných výrobků	aktivní	ano	2008	Jablonec nad Nisou	46601	Oldřich Šoba; Ivan Šnajdr; Marek Večeř	00;107;11010;46900;47240;56100;82110;101	Jablonec nad Nisou	2008-03-31
200-249	s.r.o.	62738542	Severočeské komunální služby s.r.o.	Činnosti související s odpadními vodami; Nespecializovaný maloobchod; Silniční nákladní doprava; Podpůrné činnosti pro zemědělství a posklizňové činnosti; Sběr nebezpečných odpadů; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Pronájem a správa vlastních nebo pronajatých nemovitostí; Velkoobchod; Sběr odpadů, kromě nebezpečných; Úklidové činnosti	aktivní	ano	1995	Jablonec nad Nisou	46601	František Lufinka; Jaroslav Šída; Michal Plíšek; Petr Dierzé	37000;471;49410;016;38120;772;6820;46;38110;812	Jablonec nad Nisou	1995-03-01
200-249	s.r.o.	25424700	CMS - Conclusive Method of Solution, s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Výroba ostatních elektrických zařízení; Kompletační a dokončovací stavební práce; Zprostředkování v oblasti velkoobchodu za provizi; Počítačové programování, poradenství a související činnosti; Pronájem a správa vlastních nebo pronajatých nemovitostí; Poradenství v oblasti podnikání a řízení podniků; Architektonické a inženýrské činnosti a související technické poradenství; Pátrací a bezpečnostní činnosti; Velkoobchod a maloobchod	aktivní	ano	2000	Jablonec nad Nisou	46602	Marta Dudová; Pavel Latislav	00;27900;433;461;620;6820;702;711;80;G	Jablonec nad Nisou	2000-12-20
100-199	s.r.o.	47309547	INTERNATIONAL METAL PLAST spol. s r.o.	Výroba plastových obalů; Výroba obalů z lehkých kovů	aktivní	ano	1992	Jablonec nad Nisou	46801	Libor Vaculík; Daniel Nývlt	22220;25920	Jablonec nad Nisou	1992-11-25
100-199	s.r.o.	41327535	LIGUM spol. s r.o.	Výroba pryžových výrobků; Výroba ostatních strojů pro speciální účely j. n.	aktivní	ano	1991	Jablonec nad Nisou	46605	Tomáš Pluhař; Jaroslav Pluhař	22190;28990	Jablonec nad Nisou	1991-09-11
