velikost_zamestnancu	pravni_forma	ico	nazev	obor_podnikani	status	platce_dph	rok_vzniku	obec	psc	statutari	nace_kody	okres	datum_vzniku
5000-9999	a.s.	27283933	Krajská nemocnice Liberec, a.s.	Destilace, rektifikace a míchaní lihovin; Výroba ostatních výrobků stavebního truhlářství a tesařství; Instalace rozvodů vody, odpadu, topení a klimatizace; Ostatní specializované stavební činnosti j. n.; Nespecializovaný maloobchod; Maloobchod s farmaceutickými výrobky; Maloobchod s ostatním novým zbožím; Silniční nákladní doprava; Skladování; Podpůrné činnosti pro dopravu; Ostatní ubytování; Poskytování stravování v restauracích, u stánků a mobilních zařízení; Počítačové programování, poradenství a související činnosti; Poskytování počítačové infrastruktury, zpracování dat, hosting a ostatní informační činnosti; Zprostředkování v oblasti nemovitostí; Účetnické a auditorské činnosti; daňové poradenství; Výzkum a vývoj v oblasti přírodních a technických věd; Reklamní činnosti; Zastupování médií při prodeji reklamního času a prostoru; Překladatelské a tlumočnické činnosti; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Ostatní vzdělávání; Lůžková zdravotní péče; Činnosti knihoven, archivů, muzeí a jiných kulturních zařízení; Opravy a údržba počítačů a komunikačních zařízení; Poskytování osobních služeb	aktivní	ano	2006	Liberec	46001	Richard Lukáš; Marie Fryaufová; Hana Jelínková; Jan Rais; Zdeněk Krejzar; Tomáš Roubíček; Dana Šperlíková; Vladimír Nedvěd; Petr Urban	11010;16230;43220;4399;471;47730;4778;49410;52100;52290;5590;56100;620;63;68310;69200;721;731;73120;74300;772;855;86100;91010;95110;96040	Liberec	2006-02-07
1500-1999	s.r.o.	26195348	Magna Exteriors (Bohemia) s.r.o.	Výroba pryžových výrobků; Výroba plastových výrobků; Výroba kovových výrobků, kromě strojů a zařízení; Výroba ostatních strojů pro speciální účely j. n.; Instalace průmyslových strojů a zařízení; Zprostředkování v oblasti velkoobchodu za provizi; Pronájem a správa vlastních nebo pronajatých nemovitostí	aktivní	ano	2000	Liberec	46006	Pavel Cvejn; Miroslav Frontz	22190;222;25730;28990;33200;461;6820	Liberec	2000-08-21
1500-1999	s.r.o.	25432338	DENSO MANUFACTURING CZECH s.r.o.	Výroba pryžových a plastových výrobků; Výroba ostatních elektrických zařízení; Výroba klimatizačních zařízení jiných než pro domácnost; Zprostředkování v oblasti velkoobchodu za provizi	aktivní	ano	2001	Liberec	46312	Hiroki Matsumoto; Akihiko Kakiuchi	22;27900;28250;461	Liberec	2001-07-12
500-999	a.s.	47311975	Dopravní podnik měst Liberce a Jablonce nad Nisou, a.s.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Výstavba bytových a nebytových budov; Opravy a údržba motorových vozidel, kromě motocyklů; Nespecializovaný maloobchod; Maloobchod s pohonnými hmotami; Pozemní a potrubní doprava; Pravidelná silniční osobní doprava; Silniční nákladní doprava; Ubytování v hotelích a podobných ubytovacích zařízeních; Pronájem a správa vlastních nebo pronajatých nemovitostí; Pronájem a leasing osobních automobilů a lehkých motorových vozidel; Činnosti autoškol; Činnosti reklamních agentur	aktivní	ano	1993	Liberec	46007	Martin Hettner; Michal Zděnek; Václav Sosna	00;4120;45200;471;47300;49;49310;49410;55109;6820;77110;8553;73110	Liberec	1993-04-01
500-999	s.r.o.	25458051	Magna Exteriors (Nymburk) s.r.o.	Výroba pryžových a plastových výrobků; Výroba ostatních strojů a zařízení pro všeobecné účely j. n.; Výroba ostatních strojů pro speciální účely; Výroba ostatních dílů a příslušenství pro motorová vozidla; Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný velkoobchod; Maloobchod s ostatním novým zbožím; Poradenství v oblasti podnikání a řízení podniků; Výzkum a vývoj v oblasti přírodních a technických věd; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost	aktivní	ano	2002	Liberec	46006	Miroslav Frontz; Pavel Cvejn	22;28290;289;29320;461;46900;4778;702;7219;772	Liberec	2002-12-04
500-999	s.r.o.	04171012	UCT Fluid Delivery Solutions s.r.o.	Výroba pryžových a plastových výrobků; Výroba zámků a kování; Výroba ostatních strojů pro speciální účely j. n.; Nespecializovaný maloobchod; Velkoobchod; Výzkum a vývoj v oblasti přírodních a technických věd	aktivní	ano	2015	Liberec	46312	Sheri Lynn Savage; Brian Earl Harding; Miroslav Hašek; Martin Pavlata	22;25620;28990;471;46;7219	Liberec	2015-06-16
500-999	s.r.o.	03865436	Webasto Roof & Components Czech Republic s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Výroba zámků a kování; Výroba ostatních dílů a příslušenství pro motorová vozidla; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Skladování a podpůrné činnosti pro dopravu; Technické zkoušky a analýzy; Specializované návrhářské činnosti; Úklidové činnosti	aktivní	ano	2015	Liberec	46008	Rainer Wisuschil; Jesus Virgilio Aleman Valerio; Petr Stehlík; Jakub Khun	00;25620;29320;46900;471;52;71209;74100;812	Liberec	2015-03-06
250-499	s.r.o.	48292516	SYNER, s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Podpůrné činnosti pro zemědělství a posklizňové činnosti; Opravy, údržba a instalace strojů a zařízení; Instalace průmyslových strojů a zařízení; Výstavba bytových a nebytových budov; Příprava staveniště; Elektroinstalační, instalatérské a ostatní stavebně instalační činnosti; Zednické práce; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Silniční nákladní doprava; Pronájem a správa vlastních nebo pronajatých nemovitostí; Architektonické činnosti; Inženýrské činnosti a související technické poradenství; Technické zkoušky a analýzy; Ostatní odborné, vědecké a technické činnosti j. n.; Ostatní odborné, vědecké a technické činnosti j. n.; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Úklidové činnosti; Administrativní a kancelářské činnosti	aktivní	ano	1993	Liberec	46001	Robert Špott; Dalibor Kobrle; Luboš Váňa	00;016;33;33200;4120;43120;432;43910;46900;471;49410;6820;71110;71122;71209;74901;74902;772;812;82110	Liberec	1993-06-25
250-499	s.r.o.	48267201	JIZERSKÉ PEKÁRNY spol. s r.o.	Výroba pekařských a cukrářských výrobků, kromě trvanlivých; Destilace, rektifikace a míchaní lihovin; Nespecializovaný maloobchod; Poskytování stravování v restauracích, u stánků a mobilních zařízení; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Výroba potravinářských výrobků; Nespecializovaný velkoobchod; Účetnické a auditorské činnosti; daňové poradenství; Pronájem a správa vlastních nebo pronajatých nemovitostí; Poskytování ubytování; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona	aktivní	ano	1993	Liberec	46001	František Kuberka; Roman Kozák	10710;11010;471;56100;772;10;46900;69200;6820;55;00	Liberec	1993-03-01
250-499	a.s.	46708375	FläktGroup Czech Republic a.s.	Elektrické instalace; Účetnické a auditorské činnosti; daňové poradenství; Výzkum a vývoj v oblasti přírodních a technických věd; Výroba elektrických zařízení; Výroba klimatizačních zařízení jiných než pro domácnost; Instalace průmyslových strojů a zařízení; Elektroinstalační, instalatérské a ostatní stavebně instalační činnosti	aktivní	ano	1992	Liberec	46312	Jiří Nerad; Radoslav Hudák	43210;69200;7219;27;28250;33200;432	Liberec	1992-05-01
250-499	a.s.	27096670	EUROVIA Kamenolomy, a.s.	Výroba chemických látek a chemických výrobků; Sběr odpadů, kromě nebezpečných; Výstavba bytových a nebytových budov; Demolice a příprava staveniště; Příprava staveniště; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Maloobchod s ostatním novým zbožím; Silniční nákladní doprava; Pronájem a správa vlastních nebo pronajatých nemovitostí; Pronájem a správa vlastních nebo pronajatých nemovitostí; Ostatní činnosti v oblasti nemovitostí na základě smlouvy nebo dohody; Účetnické a auditorské činnosti; daňové poradenství; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Činnosti v oblasti zábavy a rekreace j. n.; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Provoz pískoven a štěrkopískoven a těžba jílů a kaolinu	aktivní	ne	2003	Liberec	46001	Petr Polák; Paul Scippa; Martin Pekáček; Michael Junge	20;38110;4120;431;43120;46900;471;47789;49410;68203;68204;68320;69200;772;93290;00;08120	Liberec	2003-10-29
